,iou,month_year,constant,size_comp,size_conc,gen_q_comp,gen_q_conc,inv_q_comp,inv_q_conc,q_comp,q_conc
85,sce,2013-07-01,1,14943.571428571428,60823.30612244898,2257.0,14379.0,17522.0,40528.0,19779.0,54907.0
86,sce,2012-07-01,1,9593.163265306122,64249.1112244898,1278.0,12579.0,6878.0,27209.0,8156.0,39788.0
87,sce,2013-01-01,1,15928.794897959184,67283.72346938774,1696.0,34238.0,11266.0,31168.0,12962.0,65406.0
88,sce,2012-10-01,1,13600.428571428572,75076.70306122449,1589.0,39162.0,8487.0,29899.0,10076.0,69061.0
89,sce,2013-06-01,1,17348.70408163265,64545.78571428572,6463.0,18879.0,11521.0,34159.0,17984.0,53038.0
90,sce,2013-02-01,1,10860.489795918367,60459.13265306122,5031.0,33824.0,8960.0,29485.0,13991.0,63309.0
91,sce,2012-06-01,1,9998.163265306122,65652.88673469386,1148.0,12481.0,8659.0,28423.0,9807.0,40904.0
92,sce,2011-08-01,1,528.8775510204081,28665.87755102041,52.0,7746.0,5.0,6805.0,57.0,14551.0
93,sce,2012-04-01,1,10318.979591836734,70295.80612244898,1144.0,12849.0,5898.0,27756.0,7042.0,40605.0
94,sce,2015-02-01,1,143.06122448979588,2225.1020408163267,30.0,376.0,96.0,617.0,126.0,993.0
95,sce,2014-06-01,1,1091.2244897959183,7573.367346938776,288.0,2718.0,443.0,2994.0,731.0,5712.0
96,sce,2013-09-01,1,8797.744897959183,40045.357142857145,1356.0,10994.0,5601.0,17358.0,6957.0,28352.0
97,sce,2011-04-01,1,130.20408163265307,14111.540816326531,43.0,2631.0,25.0,4105.0,68.0,6736.0
98,sce,2013-08-01,1,15640.377551020409,55685.73469387755,2264.0,13258.0,13360.0,30718.0,15624.0,43976.0
99,sce,2014-01-01,1,1999.0816326530612,14890.65306122449,258.0,3746.0,872.0,5945.0,1130.0,9691.0
100,sce,2014-05-01,1,376.3265306122449,7949.69387755102,201.0,2919.0,306.0,3300.0,507.0,6219.0
101,sce,2014-02-01,1,1206.1224489795918,12891.571428571431,180.0,3488.0,665.0,5073.0,845.0,8561.0
102,sce,2013-12-01,1,5335.306122448979,20225.95918367347,323.0,4069.0,967.0,6912.0,1290.0,10981.0
103,sce,2014-03-01,1,1636.8367346938774,11685.448979591838,157.0,3308.0,719.0,4408.0,876.0,7716.0
104,sce,2013-11-01,1,4746.285714285714,24972.244897959186,3367.0,7436.0,1601.0,8513.0,4968.0,15949.0
105,sce,2014-09-01,1,257.2448979591837,3833.5714285714284,82.0,701.0,266.0,1670.0,348.0,2371.0
106,sce,2015-03-01,1,281.0204081632653,2082.0408163265306,41.0,346.0,81.0,521.0,122.0,867.0
107,sce,2014-10-01,1,158.265306122449,3576.326530612245,49.0,619.0,137.0,1404.0,186.0,2023.0
108,sce,2014-08-01,1,799.591836734694,4633.163265306122,97.0,798.0,465.0,2135.0,562.0,2933.0
109,sce,2007-05-01,1,30.20408163265306,61.53061224489795,4.0,9.0,5.0,10.0,9.0,19.0
110,sce,2015-01-01,1,263.7755102040816,2488.8775510204077,51.0,427.0,219.0,836.0,270.0,1263.0
111,sce,2014-12-01,1,685.7142857142858,3174.591836734694,64.0,491.0,256.0,1092.0,320.0,1583.0
112,sce,2010-05-01,1,63.4795918367347,3201.724489795919,9.0,854.0,27.0,1640.0,36.0,2494.0
113,sce,2011-12-01,1,2188.2653061224487,56681.255102040814,3579.0,10005.0,102.0,17468.0,3681.0,27473.0
114,sce,2011-06-01,1,541.8367346938776,18617.76530612245,151.0,3891.0,45.0,5045.0,196.0,8936.0
115,sce,2011-07-01,1,54.28571428571428,20374.857142857145,106.0,3792.0,13.0,5316.0,119.0,9108.0
116,sce,2008-03-01,1,277.6530612244898,1419.8163265306125,1.0,1644.0,2.0,125.0,3.0,1769.0
